108449025	"尾坂川／笠岡市甲弩（寺道橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449025"	133.548899000	34.593790000	87079000	"高梁川"	NULL	87079121	"尾坂川"	3301205	"笠岡市"	"岡山県笠岡市甲弩"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449025.jpg"
108449026	"小田川／井原市芳井町（金比羅橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449026"	133.433319000	34.632339000	87191000	"小田川"	NULL	87191001	"小田川"	3301207	"井原市"	"岡山県井原市芳井町"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449026.jpg"
108449027	"末政川／倉敷市真備町有井（ごぜ橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449027"	133.703772000	34.639441000	87079000	"高梁川"	NULL	87079112	"末政川"	3301202	"倉敷市"	"岡山県倉敷市真備町有井"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449027.jpg"
108449028	"高馬川／倉敷市真備町箭田"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449028"	133.687838000	34.626087000	87079000	"高梁川"	NULL	87079068	"高馬川"	3301202	"倉敷市"	"岡山県倉敷市真備町箭田"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449028.jpg"
108449029	"真谷川／倉敷市玉島服部（服部橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449029"	133.680606000	34.610098000	87079000	"高梁川"	NULL	87079113	"真谷川"	3301202	"倉敷市"	"岡山県倉敷市玉島服部"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449029.jpg"
108449030	"西川／新見市金谷（河本ダム）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449030"	133.458542000	34.960000000	87079000	"高梁川"	NULL	87079029	"西川"	3301210	"新見市"	"岡山県新見市金谷"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449030.jpg"
108449031	"成羽川／高梁市成羽町（総門橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449031"	133.533539000	34.781157000	87079000	"高梁川"	NULL	87079021	"成羽川"	3301209	"高梁市"	"岡山県高梁市成羽町"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449031.jpg"
108449032	"笹ヶ瀬川／岡山市南区米倉（大樋橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449032"	133.889529000	34.628343000	87308000	"笹ヶ瀬川"	NULL	87308001	"笹ヶ瀬川"	3301201	"岡山市"	"岡山県岡山市南区当新田"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449032.jpg"
108449033	"笹ヶ瀬川／岡山市北区首部"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449033"	133.898952000	34.684183000	87308000	"笹ヶ瀬川"	NULL	87308001	"笹ヶ瀬川"	3301201	"岡山市"	"岡山県岡山市北区首部"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449033.jpg"
108449034	"笹ヶ瀬川／岡山市北区花尻みどり町（びくに橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449034"	133.876291000	34.663928000	87308000	"笹ヶ瀬川"	NULL	87308001	"笹ヶ瀬川"	3301201	"岡山市"	"岡山県岡山市北区岡山市北区花尻みどり町"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449034.jpg"
